address,contact,cuisines,event_date,event_desc,event_name,facility,featured_collections,geo_location_lat,geo_location_long,known_for,link,name,price_beer,price_two,price_two_comp,rating,timetable,votes,what_people_love_here
"Opposite Royal Palms, Benaulim Beach, Benaulim, Goa",+91 8805558300,"Goan, Seafood, Chinese",,,,"Breakfast,Full Bar Available,Seaside,Outdoor Seating,Wifi,Indoor Seating",,15.2577223970,73.9281050116,,https://www.zomato.com/goa/brilliant-benaulim,Brilliant,40,800,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.3,"[['Mon', '8am – 11pm'], ['Tue', '8am – 11pm'], ['Wed', '8am – 11pm'], ['Thu', '8am – 11pm'], ['Fri', '8am – 11pm'], ['Sat', '8am – 11pm'], ['Sun', '8am – 11pm']]",14,
"Ala Goa Resort, Near Coconut Grove, Betalbatim, Goa",0832 2880168,"Goan, Chinese, Continental",,,,"Breakfast,Full Bar Available,Outdoor Seating,Wifi",,15.2962537368,73.9115460590,,https://www.zomato.com/goa/amiguerio-betalbatim,Amiguerio,Cash,600,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.1,"[['Mon', '8am – 11pm'], ['Tue', '8am – 11pm'], ['Wed', '8am – 11pm'], ['Thu', '8am – 11pm'], ['Fri', '8am – 11pm'], ['Sat', '8am – 11pm'], ['Sun', '8am – 11pm']]",10,
"Prainha Resort, Dona Paula, Panaji, Goa",+91 7722090338,"Goan, Continental, Chinese, North Indian",,,,"Breakfast,Full Bar Available,Smoking Area,Table booking recommended,Poolside,Indoor Seating,Serves Cocktails,Outdoor Seating",,15.4531948455,73.8018732145,,https://www.zomato.com/goa/beachcomber-prainha-resort-panaji,Beachcomber - Prainha Resort,Cash,"1,500",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.7,"[['Mon', '8am – 12midnight'], ['Tue', '8am – 12midnight'], ['Wed', '8am – 12midnight'], ['Thu', '8am – 12midnight'], ['Fri', '8am – 12midnight'], ['Sat', '8am – 12midnight'], ['Sun', '8am – 12midnight']]",30,
"Majorda-Betalbatim Road, Calata, Majorda, Goa",+91 9922004434,"Chinese, Goan, Seafood",,,,"Home Delivery,Serves Alcohol,Free Parking,Indoor Seating,Table booking recommended,Live Music",,15.3110338367,73.9170603454,,https://www.zomato.com/goa/jds-dine-inn-majorda,JD's Dine Inn,60,800,Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.6,"[['Mon', 'Closed'], ['Tue', '12:30pm – 3pm, 7:30pm – 11pm'], ['Wed', '12:30pm – 3pm, 7:30pm – 11pm'], ['Thu', '12:30pm – 3pm, 7:30pm – 11pm'], ['Fri', '12:30pm – 3pm, 7:30pm – 11pm'], ['Sat', '12:30pm – 3pm, 7:30pm – 11pm'], ['Sun', '12:30pm – 3pm, 7:30pm – 11pm']]",23,
"Survey 11/14, Plot B, C & E, Simvaddo, Bardez, Anjuna, Goa",+91 8322324400,"Seafood, Goan, Chinese",,,,"Breakfast,Serves Alcohol,Indoor Seating,Outdoor Seating,Table booking recommended",,undefined,undefined,,https://www.zomato.com/goa/kava-anjuna,Kava,125,"2,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.4,"[['Mon', '24 Hours'], ['Tue', '24 Hours'], ['Wed', '24 Hours'], ['Thu', '24 Hours'], ['Fri', '24 Hours'], ['Sat', '24 Hours'], ['Sun', '24 Hours']]",8,
"969 B, Munangwada, Morjim, Morjim, Goa",+91 9518376976,Cafe,,,,"Breakfast,Beer,Outdoor Seating,Table Reservation Not Required,Indoor Seating",,15.6329544542,73.7314789742,,https://www.zomato.com/goa/the-goodfellas-travel-cafe-morjim,The Goodfellas Travel Cafe,Cash,500,2 sandwiches + 2 beverages,3.6,"[['Mon', '11:30am – 12midnight'], ['Tue', '11:30am – 12midnight'], ['Wed', '11:30am – 12midnight'], ['Thu', '11:30am – 12midnight'], ['Fri', '11:30am – 12midnight'], ['Sat', '11:30am – 12midnight'], ['Sun', '11:30am – 12midnight']]",25,
"Caravela Beach Resort, Varca Beach, Benaulim, Goa",0832 6695000,"Goan, Seafood",,,,"Serves Alcohol,Indoor Seating",,15.2111201585,73.9358441904,,https://www.zomato.com/goa/beach-hut-caravela-beach-resort-benaulim,Beach Hut - Caravela Beach Resort,Cash,"1,500",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.1,"[['Mon', '12noon – 11pm'], ['Tue', '12noon – 11pm'], ['Wed', '12noon – 11pm'], ['Thu', '12noon – 11pm'], ['Fri', '12noon – 11pm'], ['Sat', '12noon – 11pm'], ['Sun', '12noon – 11pm']]",20,
"Hyatt Regency, Bhikaji Cama Place, New Delhi",011 66771306,"Cafe, Continental, North Indian",,,,"Breakfast,Wheelchair Accessible,Full Bar Available,Valet Parking Available,Indoor Seating,Brunch,Table booking recommended,4/5 Star,Wifi",,28.5693976696,77.1859395504,Buffet spread and calm ambiance,https://www.zomato.com/ncr/cafe-hyatt-regency-bhikaji-cama-place-new-delhi,Cafe - Hyatt Regency,450,"3,500",2 sandwiches + 2 beverages,3.9,"[['Mon', '24 Hours'], ['Tue', '24 Hours'], ['Wed', '24 Hours'], ['Thu', '24 Hours'], ['Fri', '24 Hours'], ['Sat', '24 Hours'], ['Sun', '24 Hours']]",357,"Food,Service,Look & Feel"
"CG 01, Ansal Plaza Mall Siri Fort Road, New Delhi",+91 9999223792,"European, Asian",,,,"Serves Alcohol,Indoor Seating",,undefined,undefined,,https://www.zomato.com/ncr/gram-siri-fort-new-delhi,Gram,Cash,"2,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,NEW,"[['Mon', '12midnight – 1am, 12:30pm – 12midnight'], ['Tue', '12midnight – 1am, 12:30pm – 12midnight'], ['Wed', '12midnight – 1am, 12:30pm – 12midnight'], ['Thu', '12midnight – 1am, 12:30pm – 12midnight'], ['Fri', '12midnight – 1am, 12:30pm – 12midnight'], ['Sat', '12midnight – 1am, 12:30pm – 12midnight'], ['Sun', '12midnight – 1am, 12:30pm – 12midnight']]",N,
"The Oberoi, Dr. Zakir Hussain Marg, New Delhi","011 24363030,  011 24304370",Chinese,,,,"Wine and Beer,Valet Parking Available,Rooftop,Table booking recommended,Indoor Seating,4/5 Star,Serves Cocktails",,28.5962400000,77.2397170000,,https://www.zomato.com/ncr/baoshuan-the-oberoi-zakir-hussain-marg-new-delhi,Baoshuan - The Oberoi,450,"5,000",Average of 2 appetizers + 2 mains + 2 beverages + 1 dessert,3.8,"[['Mon', '12:30pm – 3pm, 7pm – 11:30pm'], ['Tue', '12:30pm – 3pm, 7pm – 11:30pm'], ['Wed', '12:30pm – 3pm, 7pm – 11:30pm'], ['Thu', '12:30pm – 3pm, 7pm – 11:30pm'], ['Fri', '12:30pm – 3pm, 7pm – 11:30pm'], ['Sat', '12:30pm – 3pm, 7pm – 11:30pm'], ['Sun', '12:30pm – 3pm, 7pm – 11:30pm']]",91,"Food,Look & Feel"
